DATA SIZE,,,,,,,,,,,,,,
,all.tar,assig2.doc,bmps.tar,code.txt,code2.txt,edit.exe,forsty.jpg,gone_fishing.bmp,large.txt,Lego-big.gif,medium.txt,texts.tar,wacky.bmp,winnt256.bmp
Uncompresed,3031040,87040,1105920,72351,57701,236328,126748,17336,1220703,93371,25407,1382400,921654,157044
LZW,1846854,74574,925079,30980,24138,250742,177453,9278,605184,128973,13197,1012179,4302,159050
Do Nothing,1792781,40040,80913,24545,20516,156409,163789,8963,501777,122493,12531,597847,3951,62391
Reset,1178221,40040,80913,24545,20516,152227,171170,8963,527506,122493,12531,590475,3951,62391
Monitor,1819874,40040,80913,24545,20516,156409,163789,8963,501777,122493,12531,597847,3951,62391
7zip,828654,20729,54107,14035,12342,98313,126888,8164,402391,92402,10415,436539,2160,43856
,,,,,,,,,,,,,,
RATIOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LZW,0.609,0.857,0.836,0.428,0.418,1.061,1.4,0.535,0.496,1.381,0.519,0.732,0.005,1.013
Do Nothing,0.591,0.46,0.073,0.339,0.356,0.662,1.292,0.517,0.411,1.312,0.493,0.432,0.004,0.397
Reset,0.389,0.46,0.073,0.339,0.356,0.644,1.35,0.517,0.432,1.312,0.493,0.427,0.004,0.397
Monitor,0.6,0.46,0.073,0.339,0.356,0.662,1.292,0.517,0.411,1.312,0.493,0.432,0.004,0.397
7zip,0.273,0.238,0.049,0.194,0.214,0.416,1.001,0.471,0.33,0.99,0.41,0.316,0.002,0.279
